LAMMPS (15 Sep 2022)
OMP_NUM_THREADS environment is not set. Defaulting to 1 thread. (src/comm.cpp:98)
  using 1 OpenMP thread(s) per MPI task
# 2d WCA system, random initial configuration

#variable density equal 0.5
variable initial_temperature equal 3.0
variable final_temperature equal 0.1
variable dt equal 0.01
variable tau equal 100*${dt}
variable tau equal 100*0.01
variable thermo_time equal 50000*${dt}
variable thermo_time equal 50000*0.01
variable equil_steps equal 50000
variable run_steps equal 100000

units           lj
atom_style      atomic
dimension       2

lattice         sq ${density}
lattice         sq 0.9
Lattice spacing in x,y,z = 1.0540926 1.0540926 1.0540926
region          box block 0 20 0 20 -0.5 0.5
# number of atom types
create_box      1 box
Created orthogonal box = (0 0 -0.52704628) to (21.081851 21.081851 0.52704628)
  8 by 6 by 1 MPI processor grid
create_atoms    1 box
Created 400 atoms
  using lattice units in orthogonal box = (0 0 -0.52704628) to (21.081851 21.081851 0.52704628)
  create_atoms CPU = 0.001 seconds
mass 1 1.0

velocity all create ${initial_temperature} 12345
velocity all create 3 12345

pair_style      lj/cut 1.0
#type_1 type_2 epsilon sigma cutoff
pair_coeff      1 1 10.0 0.89089871814 1.0
pair_modify shift yes

timestep ${dt}
timestep 0.01
thermo ${thermo_time}
thermo 500

fix 1 all nvt temp ${initial_temperature} ${initial_temperature} ${tau}
fix 1 all nvt temp 3 ${initial_temperature} ${tau}
fix 1 all nvt temp 3 3 ${tau}
fix 1 all nvt temp 3 3 1
run ${equil_steps}
run 50000
Generated 0 of 0 mixed pair_coeff terms from geometric mixing rule
Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 1.3
  ghost atom cutoff = 1.3
  binsize = 0.65, bins = 33 33 2
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/cut, perpetual
      attributes: half, newton on
      pair build: half/bin/atomonly/newton
      stencil: half/bin/2d
      bin: standard
Per MPI rank memory allocation (min/avg/max) = 3.047 | 3.047 | 3.047 Mbytes
   Step          Temp          E_pair         E_mol          TotEng         Press     
         0   3              0              0              2.9925         2.69325      
       500   2.9498067      0.97938465     0              3.9218168      19.603219    
      1000   2.8551737      1.0288052      0              3.876841       19.513445    
      1500   2.8063412      0.929459       0              3.7287844      18.482234    
      2000   2.4862846      1.0908503      0              3.5709191      20.082676    
      2500   2.9180857      1.0904136      0              4.0012041      20.197706    
      3000   2.9940184      1.0629979      0              4.0495312      19.892698    
      3500   2.8978943      0.9550155      0              3.845665       18.84661     
      4000   3.045769       0.8540549      0              3.8922094      17.653526    
      4500   3.2637704      1.1249921      0              4.3806031      20.735636    
      5000   3.0996805      1.21512        0              4.3070513      22.242606    
      5500   2.9557439      1.0616491      0              4.0100037      19.935092    
      6000   3.0521442      1.2129463      0              4.2574601      21.570515    
      6500   3.1361584      1.1533334      0              4.2816514      21.398565    
      7000   3.2404522      1.0301381      0              4.2624892      19.93032     
      7500   3.0370048      1.0324544      0              4.0618666      19.872515    
      8000   2.9120114      1.0374082      0              3.9421395      19.306481    
      8500   3.1604587      0.88704591     0              4.0396035      18.137312    
      9000   2.9936358      1.0657208      0              4.0518725      20.154723    
      9500   3.1680376      1.1095942      0              4.2697118      21.007318    
     10000   3.3014662      0.97189604     0              4.2651086      18.793661    
     10500   3.1209561      1.1960063      0              4.30916        20.856373    
     11000   3.2101971      1.0473393      0              4.2495108      20.01603     
     11500   3.0102624      1.0865345      0              4.0892713      20.266626    
     12000   2.9581321      1.1221259      0              4.0728627      20.964011    
     12500   3.2121108      1.0861236      0              4.2902042      20.767026    
     13000   3.4696313      1.0481584      0              4.5091156      20.130377    
     13500   3.0368424      1.0301602      0              4.0594106      19.644332    
     14000   3.1268633      1.0827188      0              4.201765       20.212113    
     14500   3.2802341      0.85860109     0              4.1306346      18.273813    
     15000   2.9554472      0.9388546      0              3.8869131      18.657391    
     15500   2.9544946      0.9595209      0              3.9066293      19.022182    
     16000   2.8485944      1.0190324      0              3.8605053      19.779854    
     16500   3.093412       0.90293441     0              3.9886129      18.405275    
     17000   3.0388906      0.98967767     0              4.020971       19.188697    
     17500   3.0826372      0.96013067     0              4.0350613      18.8954      
     18000   3.0780737      1.03277        0              4.1031486      20.139337    
     18500   3.1078941      1.0419801      0              4.1421045      19.439979    
     19000   2.8899677      0.97994197     0              3.8626848      19.012823    
     19500   2.9627595      1.0057923      0              3.9611449      19.429255    
     20000   2.8139887      0.98910686     0              3.7960606      19.054248    
     20500   2.9679338      0.98005231     0              3.9405663      18.797369    
     21000   2.8340608      1.0786009      0              3.9055766      20.252955    
     21500   2.8889208      0.92504962     0              3.8067481      18.086647    
     22000   2.9598301      1.0160671      0              3.9684976      19.373273    
     22500   2.7446921      1.2747649      0              4.0125953      22.108165    
     23000   3.0054984      0.92233702     0              3.9203217      18.515458    
     23500   2.9391519      1.014924       0              3.9467281      19.326591    
     24000   2.9837986      0.77682104     0              3.7531601      16.864978    
     24500   2.8755687      0.98576241     0              3.8541422      19.213744    
     25000   2.9905009      1.0198609      0              4.0028856      19.265227    
     25500   3.0190583      0.99342853     0              4.0049391      19.230284    
     26000   2.9691846      0.9152508      0              3.8770125      18.808167    
     26500   2.9214429      0.89157306     0              3.8057124      18.065742    
     27000   2.8426756      0.89704988     0              3.7326187      18.02794     
     27500   2.9161536      0.90578159     0              3.8146448      17.882658    
     28000   2.5914958      1.1028984      0              3.6879155      20.48953     
     28500   2.8505942      0.82995139     0              3.6734191      16.92383     
     29000   2.864997       1.0813683      0              3.9392028      20.098143    
     29500   2.8960891      1.0482214      0              3.9370703      19.966626    
     30000   2.806972       1.1867361      0              3.9866907      21.738827    
     30500   3.0180264      1.1459762      0              4.1564576      20.380555    
     31000   2.990192       1.0693799      0              4.0520964      20.035334    
     31500   3.3329063      0.93768289     0              4.2622569      18.707313    
     32000   3.0661494      1.02945        0              4.087934       19.276161    
     32500   3.0836348      0.96736662     0              4.0432923      19.027925    
     33000   3.1406502      1.0793116      0              4.2121101      20.636575    
     33500   3.0258845      1.0458897      0              4.0642096      19.364294    
     34000   3.0571642      0.92803702     0              3.9775583      18.249313    
     34500   2.9924529      0.79375141     0              3.7787232      16.938025    
     35000   3.03137        0.98376491     0              4.0075565      18.943176    
     35500   3.2269419      0.82548162     0              4.0443562      17.183326    
     36000   3.0113173      1.0249019      0              4.0286909      19.837184    
     36500   2.8462883      1.0241065      0              3.8632791      19.418944    
     37000   2.9436034      1.027754       0              3.9639983      19.436368    
     37500   2.8078715      1.0257359      0              3.8265877      19.369799    
     38000   3.1466659      0.90864685     0              4.0474461      18.677872    
