LAMMPS (15 Sep 2022)
OMP_NUM_THREADS environment is not set. Defaulting to 1 thread. (src/comm.cpp:98)
  using 1 OpenMP thread(s) per MPI task
# 3d WCA system, random initial configuration

#variable density equal 0.5
variable initial_temperature equal 3.0
variable final_temperature equal 0.1
variable dt equal 0.01
variable tau equal 100*${dt}
variable tau equal 100*0.01
variable thermo_time equal 50000*${dt}
variable thermo_time equal 50000*0.01
variable equil_steps equal 50000
variable run_steps equal 100000

units           lj
atom_style      atomic
dimension       3

lattice         fcc ${density}
lattice         fcc 1.0
Lattice spacing in x,y,z = 1.5874011 1.5874011 1.5874011
region          box block 0 8 0 8 0 8
# number of atom types
create_box      1 box
Created orthogonal box = (0 0 0) to (12.699208 12.699208 12.699208)
  3 by 4 by 4 MPI processor grid
create_atoms    1 box
Created 2048 atoms
  using lattice units in orthogonal box = (0 0 0) to (12.699208 12.699208 12.699208)
  create_atoms CPU = 0.001 seconds
mass 1 1.0

velocity all create ${initial_temperature} 10000
velocity all create 3 10000

pair_style      lj/cut 1.0
#type_1 type_2 epsilon sigma cutoff
pair_coeff      1 1 10.0 0.89089871814 1.0
pair_modify shift yes

timestep ${dt}
timestep 0.01
thermo ${thermo_time}
thermo 500

fix 1 all nvt temp ${initial_temperature} ${initial_temperature} ${tau}
fix 1 all nvt temp 3 ${initial_temperature} ${tau}
fix 1 all nvt temp 3 3 ${tau}
fix 1 all nvt temp 3 3 1
run ${equil_steps}
run 50000
Generated 0 of 0 mixed pair_coeff terms from geometric mixing rule
Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 1.3
  ghost atom cutoff = 1.3
  binsize = 0.65, bins = 20 20 20
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/cut, perpetual
      attributes: half, newton on
      pair build: half/bin/atomonly/newton
      stencil: half/bin/3d
      bin: standard
Per MPI rank memory allocation (min/avg/max) = 3.064 | 3.065 | 3.065 Mbytes
   Step          Temp          E_pair         E_mol          TotEng         Press     
         0   3              0              0              4.4978027      2.9985352    
       500   3.1688407      1.858749       0              6.6096891      25.889564    
      1000   3.087764       1.8557794      0              6.4851638      25.724906    
      1500   3.085703       1.826079       0              6.4523735      25.686865    
      2000   3.0784131      1.8012483      0              6.4166133      25.227046    
      2500   3.0510546      1.8934535      0              6.4678008      26.065004    
      3000   3.0117512      1.7598865      0              6.2753074      24.886915    
      3500   3.0978108      1.9025932      0              6.5470404      26.18546     
      4000   2.9134737      1.8870483      0              6.2551249      25.884636    
      4500   2.9633632      1.7545835      0              6.1974578      25.04683     
      5000   2.9749205      1.8637228      0              6.3239246      25.603892    
      5500   2.9687725      1.7573276      0              6.2083119      24.4144      
      6000   3.0256512      1.7720443      0              6.3083051      25.017106    
      6500   3.0237283      1.8628664      0              6.3962442      26.025538    
      7000   3.1701731      1.877963       0              6.6309007      25.977699    
      7500   3.0476831      1.796141       0              6.3654334      25.048723    
      8000   2.9988486      1.9036213      0              6.3996978      25.996655    
      8500   3.0884815      1.7532644      0              6.3837246      24.965204    
      9000   2.9662646      1.8906938      0              6.3379182      25.895537    
      9500   3.0132794      1.9225112      0              6.4402232      26.141329    
     10000   2.9894318      1.8006012      0              6.2825594      25.217037    
     10500   3.0038991      1.795299       0              6.2989475      25.012414    
     11000   2.9896294      1.7608738      0              6.2431283      24.939106    
     11500   2.9703281      1.8312902      0              6.2846068      25.51164     
     12000   2.9692262      1.7967086      0              6.2483732      25.151543    
     12500   2.9611669      1.797707       0              6.2372885      25.121898    
     13000   2.9837461      1.8530759      0              6.3265097      25.381625    
     13500   3.0652602      1.7281961      0              6.3238413      24.65463     
     14000   3.0171694      1.8021201      0              6.3256644      25.216111    
     14500   3.0867561      1.7850092      0              6.4128826      25.24688     
     15000   2.9589458      1.8488132      0              6.2850646      25.392935    
     15500   3.0494596      1.7678325      0              6.3397884      24.899798    
     16000   2.8823548      1.7987605      0              6.1201816      25.11755     
     16500   2.9630774      1.7956287      0              6.2380745      24.98843     
     17000   2.9878184      1.7472725      0              6.2268118      24.695273    
     17500   3.0218128      1.7329634      0              6.2634694      24.548587    
     18000   3.0724297      1.7267427      0              6.333137       24.597693    
     18500   2.9555451      1.8406798      0              6.2718327      25.356288    
     19000   2.9021206      1.9006379      0              6.2516932      26.104262    
     19500   2.9517306      1.8489879      0              6.2744219      25.728277    
     20000   3.0261041      1.8559106      0              6.3928504      25.771246    
     20500   2.9566493      1.7617469      0              6.1945554      24.811535    
     21000   3.0680796      1.754675       0              6.3545473      24.820242    
     21500   3.0476476      1.8886677      0              6.4579069      26.021559    
     22000   3.0129463      1.8098259      0              6.3270386      25.23128     
     22500   3.1225352      1.8084452      0              6.489961       25.314906    
     23000   2.9612776      1.8061986      0              6.2459461      25.139685    
     23500   3.0152194      1.7968582      0              6.3174788      25.39415     
     24000   2.9672441      1.7757255      0              6.2244184      24.874979    
     24500   3.0167572      1.7781503      0              6.3010765      24.963572    
     25000   2.950155       1.7614758      0              6.1845475      24.816718    
     25500   2.9950429      1.8035895      0              6.2939602      25.260656    
     26000   2.970496       1.8879582      0              6.3415265      25.837606    
     26500   3.0520446      1.7569649      0              6.3327963      24.894062    
     27000   3.0768241      1.6975677      0              6.3105503      24.37124     
     27500   3.0798889      1.8315263      0              6.4491038      25.671222    
     28000   3.0735635      1.834425       0              6.4425192      25.580146    
     28500   2.9969196      1.7446783      0              6.2378627      24.637182    
     29000   3.0456588      1.7704133      0              6.3366708      25.022758    
     29500   3.0014132      1.7896012      0              6.2895227      25.359221    
     30000   3.0941507      1.8737069      0              6.5126667      25.664911    
     30500   3.0009196      1.7151332      0              6.2143146      24.494468    
     31000   3.0216586      1.7654481      0              6.2957229      24.964557    
     31500   3.0772878      1.8392739      0              6.4529518      25.714976    
     32000   3.0037532      1.7204915      0              6.2239212      24.283658    
     32500   2.9657963      1.8300401      0              6.2765624      25.474647    
     33000   2.9312927      1.7866477      0              6.1814398      25.194926    
     33500   3.021137       1.7331629      0              6.2626557      24.739421    
     34000   3.0150919      1.8015144      0              6.3219439      25.482642    
     34500   2.9905506      1.8306312      0              6.3142667      25.617925    
     35000   3.1062778      1.7425019      0              6.3996435      24.804478    
     35500   2.9523767      1.7654533      0              6.191856       24.659713    
     36000   2.9927904      1.9259671      0              6.4129607      25.913973    
     36500   2.9629339      1.8183489      0              6.2605797      25.414032    
     37000   3.0458839      1.7761379      0              6.3427329      25.056309    
     37500   2.983858       1.8155757      0              6.2891772      25.323062    
