LAMMPS (15 Sep 2022)
OMP_NUM_THREADS environment is not set. Defaulting to 1 thread. (src/comm.cpp:98)
  using 1 OpenMP thread(s) per MPI task
# 3d WCA system, random initial configuration

#variable density equal 0.5
variable initial_temperature equal 3.0
variable final_temperature equal 0.1
variable dt equal 0.01
variable tau equal 100*${dt}
variable tau equal 100*0.01
variable thermo_time equal 50000*${dt}
variable thermo_time equal 50000*0.01
variable equil_steps equal 50000
variable run_steps equal 100000

units           lj
atom_style      atomic
dimension       3

lattice         fcc ${density}
lattice         fcc 1.3
Lattice spacing in x,y,z = 1.4544726 1.4544726 1.4544726
region          box block 0 8 0 8 0 8
# number of atom types
create_box      1 box
Created orthogonal box = (0 0 0) to (11.635781 11.635781 11.635781)
  3 by 4 by 4 MPI processor grid
create_atoms    1 box
Created 2048 atoms
  using lattice units in orthogonal box = (0 0 0) to (11.635781 11.635781 11.635781)
  create_atoms CPU = 0.001 seconds
mass 1 1.0

velocity all create ${initial_temperature} 10000
velocity all create 3 10000

pair_style      lj/cut 1.0
#type_1 type_2 epsilon sigma cutoff
pair_coeff      1 1 10.0 0.89089871814 1.0
pair_modify shift yes

timestep ${dt}
timestep 0.01
thermo ${thermo_time}
thermo 500

fix 1 all nvt temp ${initial_temperature} ${initial_temperature} ${tau}
fix 1 all nvt temp 3 ${initial_temperature} ${tau}
fix 1 all nvt temp 3 3 ${tau}
fix 1 all nvt temp 3 3 1
run ${equil_steps}
run 50000
Generated 0 of 0 mixed pair_coeff terms from geometric mixing rule
Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 1.3
  ghost atom cutoff = 1.3
  binsize = 0.65, bins = 18 18 18
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/cut, perpetual
      attributes: half, newton on
      pair build: half/bin/atomonly/newton
      stencil: half/bin/3d
      bin: standard
Per MPI rank memory allocation (min/avg/max) = 3.064 | 3.064 | 3.064 Mbytes
   Step          Temp          E_pair         E_mol          TotEng         Press     
         0   3              0              0              4.4978027      3.8980957    
       500   3.0937333      2.8599771      0              7.4983112      51.416827    
      1000   2.9809547      2.7152848      0              7.1845335      49.305669    
      1500   2.977783       2.7242206      0              7.188714       49.554457    
      2000   2.972191       2.7826383      0              7.2387478      50.30233     
      2500   3.0274071      2.7640031      0              7.3028965      49.927439    
      3000   2.9901043      2.8805168      0              7.3634832      51.102055    
      3500   3.0291688      2.6546783      0              7.1962129      48.722972    
      4000   3.038563       2.9429819      0              7.4986009      52.033485    
      4500   2.9783798      2.802249       0              7.2676372      50.527801    
      5000   3.1158119      2.9089039      0              7.5803397      52.074826    
      5500   2.9454914      2.8771335      0              7.2932132      51.363681    
      6000   2.9333301      2.9329289      0              7.3307755      52.032021    
      6500   3.081913       2.7277815      0              7.3483938      49.684584    
      7000   3.0352872      2.8996223      0              7.4503299      51.508572    
      7500   2.9647222      2.7418461      0              7.186758       49.591127    
      8000   3.0190365      2.9642299      0              7.4905734      52.493932    
      8500   2.9803875      2.8317275      0              7.3001258      50.921641    
      9000   2.9939968      2.897831       0              7.3866334      51.327396    
      9500   3.0055758      2.8257677      0              7.33193        50.712715    
     10000   2.9188801      2.883493       0              7.2596753      51.032126    
     10500   2.862515       2.9928346      0              7.2845105      52.292872    
     11000   3.0291531      2.8780069      0              7.419518       51.462243    
     11500   3.0054412      2.8183807      0              7.3243412      50.758569    
     12000   2.9248926      2.8844182      0              7.2696149      51.04336     
     12500   2.9544646      2.9176523      0              7.3471853      51.566237    
     13000   2.9210925      2.7924489      0              7.1719481      50.371094    
     13500   3.0493796      2.8004702      0              7.3723062      50.612516    
     14000   2.967568       2.8010734      0              7.2502519      50.162319    
     14500   3.0320083      2.8226424      0              7.3684342      50.911685    
     15000   3.008374       2.8514223      0              7.36178        51.252657    
     15500   3.0325286      2.8423169      0              7.3888887      51.157152    
     16000   2.9491943      2.9543038      0              7.3759352      52.392755    
     16500   3.019162       2.8881879      0              7.4147196      51.389856    
     17000   3.0749875      2.783182       0              7.393411       50.593708    
